,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,"b'173378.37240,'","b'3,'","b'0.282,'","b'-0.501,'","b'9.997,'","b'4,'","b'-0.001,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37438,'","b'3,'","b'0.289,'","b'-0.504,'","b'9.996,'","b'4,'","b'-0.000,'","b'-0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.37734,'","b'3,'","b'0.292,'","b'-0.505,'","b'9.997,'","b'4,'","b'-0.000,'","b'-0.000,'","b'-0.000,'","b'5,'","b'16.188,'","b'0.750,-47.375,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.37935,'","b'3,'","b'0.292,'","b'-0.505,'","b'9.991,'","b'4,'","b'0.000,'","b'-0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38060,'","b'3,'","b'0.288,'","b'-0.506,'","b'9.982,'","b'4,'","b'-0.001,'","b'0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38240,'","b'3,'","b'0.287,'","b'-0.503,'","b'9.981,'","b'4,'","b'-0.001,'","b'0.001,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38437,'","b'3,'","b'0.283,'","b'-0.502,'","b'9.976,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.38734,'","b'3,'","b'0.279,'","b'-0.506,'","b'9.976,'","b'4,'","b'-0.000,'","b'0.001,'","b'0.000,'","b'5,'","b'16.313,'","b'0.750,-47.438,'","b'86,'",b'32',,,,,,,,,,,,,,,,
0,"b'173378.38935,'","b'3,'","b'0.275,'","b'-0.512,'","b'9.983,'","b'4,'","b'-0.001,'","b'0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39060,'","b'3,'","b'0.279,'","b'-0.510,'","b'9.973,'","b'4,'","b'-0.000,'","b'0.000,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39242,'","b'3,'","b'0.285,'","b'-0.505,'","b'9.972,'","b'4,'","b'0.000,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39451,'","b'3,'","b'0.281,'","b'-0.499,'","b'9.979,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.001,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.39734,'","b'3,'","b'0.287,'","b'-0.493,'","b'9.973,'","b'4,'","b'-0.001,'","b'0.000,'","b'0.000,'","b'5,'","b'16.250,'","b'0.875,-47.563,'","b'81,'","b'268.460,'","b'2.750,'","b'1.550,'","b'82,'","b'0.009,'","b'-0.018,'","b'0.172,'","b'83,'","b'0.266,'","b'-0.472,'","b'9.792,'","b'84,'","b'-0.007,'","b'-0.027,'","b'0.716,'","b'86,'",b'32'
0,"b'173378.39889,'","b'3,'","b'0.292,'","b'-0.488,'","b'9.970,'","b'4,'","b'-0.000,'","b'-0.000,'","b'-0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
0,"b'173378.40049,'","b'3,'","b'0.291,'","b'-0.484,'","b'9.982,'","b'4,'","b'0.001,'","b'-0.001,'","b'0.000,'","b'86,'",b'32',,,,,,,,,,,,,,,,,,,
